Hawk Frame ID,SSP Frame ID,Screen count,Name,Publisher,Latitude,Longitude,Estimated address,City,Zipcode,Country,Width,Height,Format name,Environment,Contacts (weekly),Creative type,Video min duration,Video max duration,Certification
viooh:JCDECAUX_GB:1234933245,JCDECAUX_GB:1234933245,,,JCDECAUX_GB,53.408295,-2.988655,"2 Moorfields, Liverpool L2 2BS, UK",Liverpool,L2 2BS,United Kingdom,1080,1920,,transit.train_stations,69928.99845067496,video,,6.0,
viooh:JCDECAUX_GB:1234933246,JCDECAUX_GB:1234933246,,,JCDECAUX_GB,53.408295,-2.988655,"2 Moorfields, Liverpool L2 2BS, UK",Liverpool,L2 2BS,United Kingdom,1080,1920,,transit.train_stations,64740.96377880002,video,,6.0,
viooh:JCDECAUX_GB:1234933248,JCDECAUX_GB:1234933248,,,JCDECAUX_GB,53.404942,-2.991932,"18 James St, Liverpool L2 7PQ, UK",Liverpool,L2 7PQ,United Kingdom,1080,1920,,transit.train_stations,54538.01592557504,video,,6.0,
viooh:JCDECAUX_GB:1234933251,JCDECAUX_GB:1234933251,,,JCDECAUX_GB,53.404942,-2.991932,"18 James St, Liverpool L2 7PQ, UK",Liverpool,L2 7PQ,United Kingdom,1080,1920,,transit.train_stations,110640.824056525,video,,6.0,
viooh:JCDECAUX_GB:1234933250,JCDECAUX_GB:1234933250,,,JCDECAUX_GB,53.404942,-2.991932,"18 James St, Liverpool L2 7PQ, UK",Liverpool,L2 7PQ,United Kingdom,1080,1920,,transit.train_stations,121135.65608645005,video,,6.0,
viooh:JCDECAUX_GB:1234933249,JCDECAUX_GB:1234933249,,,JCDECAUX_GB,53.404942,-2.991932,"18 James St, Liverpool L2 7PQ, UK",Liverpool,L2 7PQ,United Kingdom,1080,1920,,transit.train_stations,101075.44335185009,video,,6.0,
viooh:JCDECAUX_GB:1234933255,JCDECAUX_GB:1234933255,,,JCDECAUX_GB,53.404361,-2.979554,"24 Ranelagh St, Liverpool L1 1QE, UK",Liverpool,L1 1QE,United Kingdom,1080,1920,,transit.train_stations,350937.59401787503,video,,6.0,
viooh:JCDECAUX_GB:1234933252,JCDECAUX_GB:1234933252,,,JCDECAUX_GB,53.404942,-2.991932,"18 James St, Liverpool L2 7PQ, UK",Liverpool,L2 7PQ,United Kingdom,1080,1920,,transit.train_stations,77629.45343649996,video,,6.0,
viooh:JCDECAUX_GB:1234933256,JCDECAUX_GB:1234933256,,,JCDECAUX_GB,53.408295,-2.988655,"2 Moorfields, Liverpool L2 2BS, UK",Liverpool,L2 2BS,United Kingdom,1080,1920,,transit.train_stations,184990.35682774996,video,,6.0,
viooh:JCDECAUX_GB:1234933257,JCDECAUX_GB:1234933257,,,JCDECAUX_GB,53.408295,-2.988655,"2 Moorfields, Liverpool L2 2BS, UK",Liverpool,L2 2BS,United Kingdom,1080,1920,,transit.train_stations,92414.75239677506,video,,6.0,
